t_index	term	df
1529	camel	3
1530	camera	26
1531	cameraman	3
1532	cameroon	2
1533	camouflag	7
1534	camp	49
1535	campaign	155
1536	campbel	1
1537	campfir	3
1538	campground	1
1539	campu	2
1540	can	2
1541	canada	14
1542	canal	21
1543	canberra	1
1544	cancel	38
1545	cancer	45
1546	candid	144
1547	candidaci	15
1548	candiotti	2
1549	candl	3
1550	candlelight	4
1551	candor	2
1552	cane	2
1553	canist	2
1554	cannaday	3
1555	cannistraro	4
1556	cannon	3
1557	cannot	62
1558	canon	1
1559	canopi	2
1560	canton	1
1561	cantwel	4
1562	canva	3
1563	canvass	3
1564	cap	19
1565	capabl	25
1566	capac	15
1567	cape	2
1568	capit	159
1569	capitalist	2
1570	capitol	28
1571	capitul	1
1572	capp	1
1573	capriati	33
1574	capsul	2
1575	capt	30
1576	captain	28
1577	captiv	6
1578	captor	4
1579	captur	58
1580	car	99
1581	caraca	2
1582	carat	1
1583	caravan	3
1584	carbon	2
1585	card	21
1586	cardboard	1
1587	cardiopulmonari	1
1588	care	85
1589	career	50
1590	caretak	4
1591	carey	1
1592	cargo	12
1593	caribbean	2
1594	carin	1
1595	cario	1
1596	carjack	2
1597	carl	4
1598	carlo	29
1599	carlson	1
1600	carlton	1
1601	carman	1
1602	carmelo	2
1603	carmen	4
1604	carmodi	4
1605	carnahan	66
1606	carnahand	1
1607	carniv	1
1608	carol	6
1609	carolina	5
1610	carpent	7
1611	carper	8
1612	carpet	5
1613	carpetbagg	2
1614	carr	1
1615	carri	183
1616	carrier	20
1617	carrol	2
1618	carrot	1
1619	carson	5
1620	cart	1
1621	carter	10
1622	carthag	2
1623	carv	9
1624	carver	1
1625	case	169
1626	casetch	1
1627	cash	24
1628	cashier	1
1629	casino	1
1630	casket	16
1631	cast	47
1632	castellano	2
1633	castiel	1
1634	castil	1
1635	castleburi	4
1636	castro	9
1637	casual	2
1638	casualti	22
1639	cat	2
1640	cataclysm	1
1641	catalyst	1
1642	catastroph	12
1643	catcal	1
1644	catch	16
1645	cate	4
1646	categor	1
1647	categori	1
1648	caterpillar	2
1649	cathedr	1
1650	catherin	3
1651	cathi	1
1652	cathol	7
1653	cattl	2
1654	caucasian	2
1655	caught	46
1656	caus	132
1657	caution	18
1658	cautiou	19
1659	cautious	2
1660	cave	3
1661	cavern	1
1662	cavort	1
1663	cawl	3
1664	cayman	3
1665	cb	6
1666	cd	1
1667	ceas	14
1668	ceaselessli	2
1669	ceausescu	1
1670	cecil	1
1671	cedar	2
1672	cede	3
1673	cedomir	1
1674	cedric	6
1675	ceil	2
1676	celebr	83
1677	celebrateor	1
1678	celera	1
1679	celest	1
1680	cell	23
1681	cellblock	1
1682	cellphon	2
1683	cellular	10
1684	cement	7
1685	cemeteri	8
1686	censor	2
1687	censorship	2
1688	cent	1
1689	center	145
1690	centerpiec	2
1691	centigrad	1
1692	centimet	1
1693	central	85
1694	centrist	6
